Q1,Q2,Q3,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q6_1_a,Q6_1_b,Q6_2_a,Q6_2_b,Q6_3_a,Q6_3_b,Q6_4_a,Q6_4_b,Q6_5_a,Q6_5_b,Q6_6_a,Q6_6_b,Q7,Q7_1_a,Q7_1_b,Q7_2_a,Q7_2_b,Q7_3_a,Q7_3_b,Q7_4_a,Q7_4_b,Q7_5_a,Q7_5_b,Q7_6_a,Q7_6_b,Q8,Q8_1_a,Q8_1_b,Q8_2_a,Q8_2_b,Q8_3_a,Q8_3_b,Q8_4_a,Q8_4_b,Q8_5_a,Q8_5_b,Q8_6_a,Q8_6_b,Q9,Q9_1_a,Q9_2_a,Q9_3_a,Q9_4_a,Q9_5_a,Q9_6_a,Q10,Q10_1_a,Q10_2_a,Q10_3_a,Q10_4_a,Q10_5_a,Q10_6_a,Q11,Q11_1_a,Q11_2_a,Q11_3_a,Q11_4_a,Q11_5_a,Q11_6_a,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15,Q16,Q17,Q18,Q19,Q19_1
1,5efb262d0aa24103410a97e2,,5,6,4,5,6,2,6,,6,5,6,6,3,6,2,,3,5,4,2,6,6,,6,1,4,2,2,2,3,1,5,1,6,2,,6,1,6,2,6,1,6,1,6,1,3,2,,5,1,1,2,3,2,1,2,6,2,6,2,,2,1,1,2,1,2,,1,1,1,2,2,1,,2,2,1,1,1,1,1,26,0,0,0,0,1,0,0,0,0,0,0,6,2,5,2,,4
1,5b9fee11ed4db100015493dd,,4,6,4,6,4,2,6,,3,1,3,4,1,4,2,,2,2,3,2,6,6,,2,1,5,2,5,2,2,1,2,1,3,2,,2,1,3,2,2,1,2,1,2,1,2,2,,2,1,1,2,2,2,2,2,2,2,6,2,,1,1,1,2,2,1,,1,1,1,1,1,1,,1,2,2,1,1,1,1,47,1,0,0,0,0,0,0,0,0,0,0,3,2,1,9,,6
1,601867fe8e5c370dbff4fcef,,5,5,1,3,5,4,6,,4,5,3,3,2,3,2,,2,2,4,2,4,4,,3,1,4,1,3,2,3,2,4,1,4,1,,4,1,1,2,5,1,5,1,4,1,4,1,,5,1,2,2,4,1,3,1,4,1,6,1,,2,2,1,2,1,2,,2,2,1,2,2,2,,2,2,1,2,1,1,2,24,1,0,0,0,0,0,0,0,0,0,0,5,2,3,9,,2
1,5d35989e71b4880017d5cc81,,3,4,2,3,5,4,5,,5,3,5,2,2,5,2,,4,4,2,2,5,3,,6,1,2,2,2,2,2,1,3,1,4,2,,4,1,2,2,6,1,4,1,4,1,3,2,,5,1,3,2,2,2,4,2,4,1,5,2,,2,1,2,2,1,2,,2,1,1,2,1,1,,1,2,2,1,1,1,2,23,1,0,0,0,0,0,0,0,0,0,0,3,2,1,9,,4
1,60cd283d1097fc71c0f065d0,,1,2,3,1,6,1,3,,5,1,3,6,1,3,3,,2,1,4,4,4,3,,6,1,5,2,6,1,6,1,6,2,6,2,,6,1,2,2,6,1,6,1,6,1,6,1,,6,1,4,2,6,1,6,2,6,2,6,1,,1,1,1,2,1,1,,1,1,2,2,1,1,,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,6,1,3,2,,6
1,616006f565267b66d7141a65,,5,4,2,4,6,3,5,,3,3,4,4,3,4,3,,4,4,5,3,5,5,,6,1,6,1,6,1,5,1,6,1,6,1,,5,1,1,2,6,1,6,1,5,1,6,1,,5,1,4,2,6,1,5,1,6,1,6,1,,2,1,1,2,1,2,,2,2,2,2,2,1,,2,2,2,2,2,1,2,36,1,0,0,0,0,0,0,0,0,0,0,5,1,5,1,,4
1,6229dc46db19c545656a6d4c,,5,4,2,2,5,2,5,,3,2,2,3,2,4,4,,2,2,3,3,3,2,,5,1,6,1,6,1,3,2,5,1,5,1,,6,1,4,2,6,1,5,1,6,1,6,1,,6,1,4,2,5,1,5,1,6,1,6,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,2,60,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,,6
1,62ac48f8586465c87a4f17c2,,2,5,4,5,6,5,6,,5,5,4,5,3,4,4,,4,5,3,3,6,5,,4,1,5,1,5,1,4,2,4,2,5,2,,5,1,5,2,6,1,3,2,4,2,5,2,,3,2,3,2,4,2,3,2,5,1,5,1,,1,1,1,2,2,2,,1,1,1,2,2,2,,2,2,1,1,2,1,2,68,1,0,0,0,0,0,0,0,0,0,0,5,1,2,3,,2
1,615b7aed81881d603f04897c,,4,4,5,4,5,4,6,,5,5,5,6,4,5,5,,4,4,6,5,4,6,,6,1,5,1,5,1,5,1,6,1,6,1,,5,1,3,2,6,1,5,1,5,1,5,1,,6,1,5,2,5,1,6,1,6,1,6,1,,2,1,1,2,1,2,,1,2,1,2,2,2,,1,2,1,2,1,1,2,36,1,0,0,0,0,0,0,0,0,0,0,5,1,4,9,,4
1,5e8767503ac8143cbddd203b,,3,6,5,2,5,4,5,,3,4,4,6,3,4,3,,3,3,4,4,5,5,,2,2,5,2,5,1,3,2,3,2,5,1,,3,2,5,2,3,2,3,2,3,2,5,1,,3,2,3,2,5,1,3,2,5,1,5,1,,2,1,1,2,2,2,,2,1,2,2,2,1,,2,2,2,1,1,1,2,36,0,0,0,0,0,0,0,0,1,0,0,5,1,4,7,,3
1,5e34d7b2cf93104ac7915090,,5,4,4,5,5,4,6,,3,4,3,4,3,4,4,,4,2,6,4,5,5,,3,1,5,1,4,1,4,1,3,1,3,1,,2,1,1,2,6,1,5,1,6,1,4,1,,4,1,2,2,3,1,3,1,4,1,4,1,,2,1,2,2,1,2,,2,2,1,1,1,2,,2,1,2,2,1,1,2,36,0,0,0,0,0,0,0,0,0,1,0,7,2,1,9,,6
1,5b734ce8e884990001b77f97,,6,3,5,6,5,6,4,,5,6,3,5,2,3,2,,2,3,6,2,6,6,,1,2,2,1,2,1,3,1,2,1,1,2,,3,1,1,2,5,1,1,2,2,1,1,2,,3,1,1,2,2,1,3,2,4,1,4,2,,2,1,2,2,2,2,,1,1,1,2,2,2,,1,1,1,1,1,1,1,27,0,0,1,0,0,0,0,0,0,0,0,3,2,2,9,,6
1,5e33190a5a41122e93c40989,,5,6,3,3,6,3,6,,4,3,3,5,2,3,1,,3,1,3,2,6,4,,5,1,6,1,4,1,4,1,6,1,3,1,,3,1,2,2,6,1,5,1,6,1,5,1,,4,1,1,2,3,2,5,1,6,1,6,1,,1,1,2,1,1,2,,1,1,1,1,1,1,,1,2,2,2,1,1,2,50,0,0,1,0,0,0,0,0,0,0,0,5,2,3,9,,5
1,62e291ef3aeb2fead2b1c47e,,6,3,4,3,6,4,5,,3,2,2,4,5,5,3,,5,4,3,3,4,4,,4,1,5,1,2,2,4,2,5,1,3,2,,4,1,1,2,3,1,1,2,3,2,6,1,,5,1,1,2,3,2,5,1,6,1,6,1,,2,1,2,2,1,2,,1,2,1,2,2,1,,1,2,2,1,1,1,2,33,1,0,0,0,0,0,0,0,0,0,0,3,1,4,9,,5
1,60af5904a7cbfd40ac61cb2b,,4,5,2,5,5,3,5,,5,5,5,5,1,5,1,,1,1,3,3,4,5,,2,1,6,1,6,1,1,1,3,1,3,1,,5,1,5,2,4,1,1,2,3,2,6,1,,5,1,3,2,3,2,5,2,6,1,6,1,,1,1,1,2,1,1,,1,1,1,2,1,1,,1,2,1,1,1,1,2,38,1,0,0,0,0,0,0,0,0,0,0,5,1,3,9,,6
